"date","at","at_anom_1900.99"
197309,14.6388888888889,31.8611111111111
197310,9.47222222222221,26.6944444444444
197311,3.97222222222222,21.1944444444444
197312,4.94444444444444,22.1666666666667
197401,1.75,18.9722222222222
197402,4.19444444444444,21.4166666666667
197403,5.41666666666667,22.6388888888889
197404,7.91666666666667,25.1388888888889
197405,9.63888888888891,26.8611111111111
197406,14.1388888888889,31.3611111111111
197407,15.6944444444444,32.9166666666667
197408,17.0833333333333,34.3055555555556
197409,16.3888888888889,33.6111111111111
197410,10.25,27.4722222222222
197411,6.36111111111111,23.5833333333333
197412,4.66666666666667,21.8888888888889
197501,2.69444444444445,19.9166666666667
197502,3.22222222222222,20.4444444444444
197503,4.41666666666667,21.6388888888889
197504,6.05555555555556,23.2777777777778
197505,10.9166666666667,28.1388888888889
197506,13.1388888888889,30.3611111111111
197507,17.0277777777778,34.25
197508,15.1388888888889,32.3611111111111
197509,14.9444444444444,32.1666666666667
197510,9.38888888888891,26.6111111111111
197511,5.19444444444444,22.4166666666667
197512,3.80555555555556,21.0277777777778
197601,3.97222222222222,21.1944444444444
197602,3.55555555555556,20.7777777777778
197603,3.91666666666666,21.1388888888889
197604,7.80555555555556,25.0277777777778
197605,11.1111111111111,28.3333333333333
197606,12.4444444444444,29.6666666666667
197607,16,33.2222222222222
197608,15.3055555555556,32.5277777777778
197609,15,32.2222222222222
197610,10.0277777777778,27.25
197611,6.30555555555556,23.5277777777778
197612,4.44444444444444,21.6666666666667
197701,1.61111111111111,18.8333333333333
197702,6.41666666666667,23.6388888888889
197703,4.94444444444445,22.1666666666667
197704,9.36111111111113,26.5833333333333
197705,9.91666666666667,27.1388888888889
197706,14.6388888888889,31.8611111111111
197707,15.5,32.7222222222222
197708,18.6111111111111,35.8333333333333
197709,13.1388888888889,30.3611111111111
197710,9.33333333333334,26.5555555555556
197711,4.41666666666666,21.6388888888889
197712,3.52777777777778,20.75
197801,4.22222222222222,21.4444444444444
197802,5.80555555555556,23.0277777777778
197803,7.25,24.4722222222222
197804,8.36111111111111,25.5833333333333
197805,10.5833333333333,27.8055555555556
197806,15.8055555555556,33.0277777777778
197807,17.1666666666667,34.3888888888889
197808,16.6111111111111,33.8333333333333
197809,13.3611111111111,30.5833333333333
197810,10.6944444444444,27.9166666666667
197811,3.19444444444445,20.4166666666667
197812,1.08333333333333,18.3055555555556
197901,-0.499999999999999,16.7222222222222
197902,3.25,20.4722222222222
197903,7.22222222222222,24.4444444444444
197904,8.30555555555556,25.5277777777778
197905,12.0277777777778,29.25
197906,14.1111111111111,31.3333333333333
197907,17.3333333333333,34.5555555555556
197908,16.8055555555556,34.0277777777778
197909,15.6944444444444,32.9166666666667
197910,11.0555555555556,28.2777777777778
197911,4.94444444444444,22.1666666666667
197912,5.36111111111111,22.5833333333333
198001,0.305555555555554,17.5277777777778
198002,4.91666666666667,22.1388888888889
198003,5.47222222222222,22.6944444444444
198004,9.69444444444446,26.9166666666667
198005,11.1944444444444,28.4166666666667
198006,12.9166666666667,30.1388888888889
198007,16.4444444444444,33.6666666666667
198008,15.6388888888889,32.8611111111111
198009,14.2777777777778,31.5
198010,10.7777777777778,28
198011,6.77777777777778,24
198012,5.22222222222222,22.4444444444444
198101,5.41666666666667,22.6388888888889
198102,5.11111111111111,22.3333333333333
198103,7.55555555555556,24.7777777777778
198104,8.27777777777778,25.5
198105,11.1944444444444,28.4166666666667
198106,12.9444444444444,30.1666666666667
198107,16.1666666666667,33.3888888888889
198108,18.6666666666667,35.8888888888889
198109,14.7777777777778,32
198110,8.94444444444445,26.1666666666667
198111,6.88888888888889,24.1111111111111
198112,3.72222222222222,20.9444444444444
198201,2.13888888888889,19.3611111111111
198202,3.80555555555555,21.0277777777778
198203,5.30555555555556,22.5277777777778
198204,6.83333333333334,24.0555555555556
198205,11.0277777777778,28.25
198206,15.6944444444444,32.9166666666667
198207,15.8888888888889,33.1111111111111
198208,16.6944444444444,33.9166666666667
198209,14.7777777777778,32
198210,10.0833333333333,27.3055555555556
198211,4.08333333333334,21.3055555555556
198212,3.25,20.4722222222222
198301,5.30555555555556,22.5277777777778
198302,6.33333333333333,23.5555555555556
198303,7.69444444444445,24.9166666666667
198304,8.77777777777778,26
198305,12.8611111111111,30.0833333333333
198306,13.7777777777778,31
198307,15.75,32.9722222222222
198308,17.2222222222222,34.4444444444444
198309,13.0555555555556,30.2777777777778
198310,9.25,26.4722222222222
198311,6.77777777777778,24
198312,0.138888888888889,17.3611111111111
198401,4.30555555555556,21.5277777777778
198402,5.44444444444444,22.6666666666667
198403,7.47222222222222,24.6944444444444
198404,7.69444444444444,24.9166666666667
198405,10.0555555555556,27.2777777777778
198406,13.3055555555556,30.5277777777778
198407,16.6944444444444,33.9166666666667
198408,16.8055555555556,34.0277777777778
198409,13.8055555555556,31.0277777777778
198410,8.5,25.7222222222222
198411,5.19444444444444,22.4166666666667
198412,0.972222222222224,18.1944444444444
198501,1.47222222222222,18.6944444444444
198502,2.5,19.7222222222222
198503,4.75000000000001,21.9722222222222
198504,8.44444444444445,25.6666666666667
198505,11.4722222222222,28.6944444444444
198506,14.1666666666667,31.3888888888889
198507,18.9444444444444,36.1666666666667
198508,16.8055555555556,34.0277777777778
198509,13.0555555555556,30.2777777777778
198510,9.22222222222224,26.4444444444444
198511,0.33333333333333,17.5555555555556
198512,1.05555555555556,18.2777777777778
198601,5.52777777777778,22.75
198602,4.27777777777778,21.5
198603,8.11111111111111,25.3333333333333
198604,7.44444444444444,24.6666666666667
198605,11.5277777777778,28.75
198606,15.5,32.7222222222222
198607,15.0555555555556,32.2777777777778
198608,18.8055555555556,36.0277777777778
198609,13.6111111111111,30.8333333333333
198610,11.0277777777778,28.25
198611,5.94444444444444,23.1666666666667
198612,3.77777777777778,21
198701,3.25,20.4722222222222
198702,6.13888888888889,23.3611111111111
198703,7.25,24.4722222222222
198704,9.94444444444446,27.1666666666667
198705,12.4166666666667,29.6388888888889
198706,15.1666666666667,32.3888888888889
198707,16.4444444444444,33.6666666666667
198708,17.25,34.4722222222222
198709,15.6111111111111,32.8333333333333
198710,11.4444444444444,28.6666666666667
198711,7.52777777777778,24.75
198712,2.55555555555556,19.7777777777778
198801,2.91666666666667,20.1388888888889
198802,5.25,22.4722222222222
198803,5.97222222222222,23.1944444444444
198804,8.83333333333334,26.0555555555556
198805,11.3611111111111,28.5833333333333
198806,13.6111111111111,30.8333333333333
198807,16.5833333333333,33.8055555555556
198808,16.7777777777778,34
198809,14.3888888888889,31.6111111111111
198810,11.8333333333333,29.0555555555556
198811,6.05555555555556,23.2777777777778
198812,4,21.2222222222222
198901,3.38888888888889,20.6111111111111
198902,0.36111111111111,17.5833333333333
198903,4.94444444444444,22.1666666666667
