"date","pc","pc_anom_1900.99"
199006,10.7315,8.1915
199007,2.2098,-0.3302
199008,5.3213,2.7813
199009,1.0541,-1.4859
199010,23.2029,20.6629
199011,38.4429,35.9029
199012,18.9357,16.3957
199101,16.4211,13.8811
199102,19.8247,17.2847
199103,14.8717,12.3317
199104,19.3548,16.8148
199105,7.874,5.334
199106,6.2103,3.6703
199107,1.8796,-0.6604
199108,7.239,4.699
199109,1.0033,-1.5367
199110,6.1468,3.6068
199111,26.1747,23.6347
199112,15.9512,13.4112
199201,26.3271,23.7871
199202,12.7762,10.2362
199203,4.4323,1.8923
199204,15.6845,13.1445
199205,2.1209,-0.4191
199206,5.3975,2.8575
199207,4.1656,1.6256
199208,2.921,0.381
199209,8.5344,5.9944
199210,8.2804,5.7404
199211,22.3266,19.7866
199212,16.7894,14.2494
199301,13.4239,10.8839
199302,1.4351,-1.1049
199303,14.8463,12.3063
199304,18.3515,15.8115
199305,12.0015,9.4615
199306,9.6774,7.1374
199307,7.4168,4.8768
199308,1.9812,-0.5588
199309,0.9017,-1.6383
199310,6.985,4.445
199311,8.8773,6.3373
199312,20.5232,17.9832
199401,13.97,11.43
199402,18.7452,16.2052
199403,12.8524,10.3124
199404,9.3726,6.8326
199405,5.1181,2.5781
199406,7.3025,4.7625
199407,1.7145,-0.8255
199408,1.3462,-1.1938
199409,5.7912,3.2512
199410,18.0721,15.5321
199411,24.8539,22.3139
199412,28.6766,26.1366
199501,17.5387,14.9987
199502,16.51,13.97
199503,16.5354,13.9954
199504,10.5537,8.0137
199505,4.4958,1.9558
199506,5.1943,2.6543
199507,5.0292,2.4892
199508,7.2644,4.7244
199509,6.0579,3.5179
199510,18.9738,16.4338
199511,40.4114,37.8714
199512,24.6761,22.1361
199601,24.7142,22.1742
199602,27.2669,24.7269
199603,7.6327,5.0927
199604,20.9931,18.4531
199605,12.8016,10.2616
199606,3.2385,0.6985
199607,3.0353,0.4953
199608,2.7686,0.2286
199609,9.3599,6.8199
199610,21.6789,19.1389
199611,24.1554,21.6154
199612,38.4683,35.9283
199701,27.9019,25.3619
199702,13.5382,10.9982
199703,29.9466,27.4066
199704,14.9352,12.3952
199705,9.7536,7.2136
199706,10.5156,7.9756
199707,5.9817,3.4417
199708,4.1783,1.6383
199709,13.5255,10.9855
199710,24.5491,22.0091
199711,15.8115,13.2715
199712,16.3957,13.8557
199801,28.5115,25.9715
199802,13.8176,11.2776
199803,15.5321,12.9921
199804,5.2832,2.7432
199805,9.7917,7.2517
199806,5.0673,2.5273
199807,1.9812,-0.5588
199808,0.5461,-1.9939
199809,2.0447,-0.4953
199810,13.0048,10.4648
199811,36.2966,33.7566
199812,34.4805,31.9405
199901,29.1592,26.6192
199902,33.3502,30.8102
199903,17.78,15.24
199904,6.1087,3.5687
199905,9.6647,7.1247
199906,8.0899,5.5499
199907,4.2418,1.7018
199908,4.0894,1.5494
199909,1.3843,-1.1557
199910,13.0302,10.4902
199911,32.385,29.845
199912,25.5016,22.9616
200001,19.9898,17.4498
200002,14.4272,11.8872
200003,13.843,11.303
200004,8.8138,6.2738
200005,11.7729,9.2329
200006,7.4422,4.9022
200007,2.3368,-0.2032
200008,2.0828,-0.4572
200009,7.0485,4.5085
200010,12.192,9.652
200011,10.6299,8.0899
200012,11.8364,9.2964
200101,11.3284,8.7884
200102,7.3533,4.8133
200103,12.7127,10.1727
200104,11.7475,9.2075
200105,7.1374,4.5974
200106,10.0584,7.5184
200107,3.0226,0.4826
200108,6.2865,3.7465
200109,2.9591,0.4191
200110,16.9164,14.3764
200111,28.9433,26.4033
200112,27.051,24.511
200201,28.067,25.527
200202,15.3035,12.7635
200203,16.5735,14.0335
200204,12.2682,9.7282
200205,6.9215,4.3815
200206,5.9309,3.3909
200207,2.0574,-0.4826
200208,1.016,-1.524
200209,3.2004,0.6604
200210,3.1242,0.5842
200211,12.9667,10.4267
200212,22.606,20.066
200301,26.7208,24.1808
200302,8.5979,6.0579
200303,25.3746,22.8346
200304,13.3858,10.8458
200305,5.2959,2.7559
200306,2.0701,-0.4699
200307,0.5715,-1.9685
200308,0.9144,-1.6256
200309,4.6355,2.0955
200310,26.4033,23.8633
200311,23.7109,21.1709
200312,18.2499,15.7099
200401,23.1902,20.6502
200402,10.414,7.874
200403,11.5824,9.0424
200404,4.2164,1.6764
200405,10.668,8.128
200406,4.2037,1.6637
200407,1.2319,-1.3081
200408,12.4333,9.8933
200409,11.5062,8.9662
200410,13.6779,11.1379
200411,16.0782,13.5382
200412,17.8435,15.3035
200501,15.8496,13.3096
200502,4.826,2.286
200503,15.7353,13.1953
200504,14.2621,11.7221
200505,11.2014,8.6614
200506,7.3914,4.8514
200507,3.7084,1.1684
200508,2.0574,-0.4826
200509,5.842,3.302
200510,15.1511,12.6111
200511,19.8755,17.3355
200512,23.6601,21.1201
200601,41.275,38.735
200602,12.5603,10.0203
200603,11.1633,8.6233
200604,9.9187,7.3787
200605,8.0899,5.5499
200606,5.8166,3.2766
200607,1.27,-1.27
200608,0.7747,-1.7653
200609,5.1308,2.5908
200610,7.0866,4.5466
200611,49.5046,46.9646
200612,24.3205,21.7805
200701,19.9136,17.3736
200702,15.2019,12.6619
200703,20.1676,17.6276
200704,8.1026,5.5626
200705,4.7625,2.2225
200706,6.0198,3.4798
200707,4.4323,1.8923
200708,2.7178,0.1778
200709,6.1722,3.6322
200710,15.2019,12.6619
200711,12.8397,10.2997
200712,31.9405,29.4005
200801,18.6309,16.0909
200802,12.5222,9.9822
200803,16.4338,13.8938
200804,9.4488,6.9088
200805,5.6515,3.1115
200806,6.9469,4.4069
200807,1.905,-0.635
200808,8.2804,5.7404
200809,2.3749,-0.1651
200810,9.0297,6.4897
200811,26.0731,23.5331
200812,18.7833,16.2433
200901,23.1902,20.6502
200902,6.1214,3.5814
200903,16.7894,14.2494
200904,10.541,8.001
200905,12.7,10.16
200906,2.0828,-0.4572
200907,0.9398,-1.6002
200908,3.2385,0.6985
200909,6.8961,4.3561
200910,21.3233,18.7833
200911,32.1564,29.6164
200912,11.0998,8.5598
201001,21.7805,19.2405
201002,11.7221,9.1821
201003,14.5288,11.9888
201004,14.224,11.684
201005,14.6304,12.0904
201006,10.5537,8.0137
201007,1.0795,-1.4605
201008,2.4384,-0.1016
201009,13.9319,11.3919
201010,15.0495,12.5095
201011,20.2311,17.6911
201012,27.1399,24.5999
201101,24.5745,22.0345
201102,14.4018,11.8618
201103,26.5049,23.9649
201104,18.1991,15.6591
201105,12.6619,10.1219
201106,5.0927,2.5527
201107,4.0386,1.4986
201108,0.6858,-1.8542
201109,4.9403,2.4003
201110,11.5316,8.9916
201111,24.5237,21.9837
201112,10.7188,8.1788
201201,22.4536,19.9136
201202,17.9324,15.3924
201203,26.3906,23.8506
201204,13.8938,11.3538
201205,10.16,7.62
201206,11.2776,8.7376
201207,3.937,1.397
201208,0.1651,-2.3749
201209,0.5461,-1.9939
201210,23.6347,21.0947
201211,26.4541,23.9141
201212,28.8925,26.3525
201301,17.145,14.605
201302,10.0203,7.4803
201303,13.2969,10.7569
201304,17.0688,14.5288
201305,10.3251,7.7851
201306,6.35,3.81
201307,0.1397,-2.4003
201308,4.5974,2.0574
201309,20.9804,18.4404
201310,6.0071,3.4671
201311,14.9098,12.3698
201312,10.4902,7.9502
201401,17.1577,14.6177
201402,20.9169,18.3769
201403,30.0609,27.5209
201404,14.2875,11.7475
201405,10.9093,8.3693
201406,4.9403,2.4003
201407,3.1496,0.6096
201408,4.1656,1.6256
201409,8.0772,5.5372
201410,22.7965,20.2565
201411,21.2598,18.7198
201412,21.6916,19.1516
201501,18.0213,15.4813
201502,16.4973,13.9573
201503,15.3924,12.8524
201504,7.62,5.08
201505,2.921,0.381
201506,1.5367,-1.0033
201507,1.5748,-0.9652
201508,6.4389,3.8989
201509,6.2738,3.7338
201510,15.6591,13.1191
201511,28.0924,25.5524
201512,40.7543,38.2143
201601,23.6601,21.1201
201602,19.812,17.272
201603,23.2664,20.7264
201604,6.4389,3.8989
201605,4.1021,1.5621
201606,6.9977,4.4577
201607,3.0226,0.4826
201608,1.2954,-1.2446
201609,6.604,4.064
201610,33.5661,31.0261
